"annotation_id","sum_id","value","img_file_path","nc_img_file_path","audio_file_path"
"1","001-1","乗る人のほうが常に多い","/statistical-archives/img-at/0001.png","/statistical-archives/img-at/nc-0001.png","/statistical-archives/audio/0001.mp3"
"2","001-1","［青のハイライト］前年より大きく減少？","/statistical-archives/img-at/0002.png","/statistical-archives/img-at/nc-0002.png","/statistical-archives/audio/0002.mp3"
"3","001-1","［赤のハイライト］前年より大きく増加？","/statistical-archives/img-at/0003.png","/statistical-archives/img-at/nc-0003.png","/statistical-archives/audio/0003.mp3"
"4","001-1","ここまで上りと下りの合計？","/statistical-archives/img-at/0004.png","/statistical-archives/img-at/nc-0004.png","/statistical-archives/audio/0004.mp3"
"5","001-1","到着の“下り”が大きい","/statistical-archives/img-at/0005.png","/statistical-archives/img-at/nc-0005.png","/statistical-archives/audio/0005.mp3"
"6","001-1","発送だと“上り”が大きい","/statistical-archives/img-at/0006.png","",""
"7","001-2","基本は乗降客年々増える","/statistical-archives/img-at/0007.png","",""
"8","001-2","急増","/statistical-archives/img-at/0008.png","",""
"9","001-2","減る","/statistical-archives/img-at/0009.png","",""
"10","001-2","減る","/statistical-archives/img-at/0010.png","",""
"11","001-2","急増","/statistical-archives/img-at/0011.png","",""
"12","001-2","急増","/statistical-archives/img-at/0012.png","",""
"13","001-2","函館以北","/statistical-archives/img-at/0013.png","",""
"14","001-2","以南？","/statistical-archives/img-at/0014.png","",""
"15","001-2","上りと下り同じ","/statistical-archives/img-at/0015.png","",""
"16","001-2","発送は上りに多い","/statistical-archives/img-at/0016.png","",""
"17","001-2","下りからの到着貨物多め","/statistical-archives/img-at/0017.png","",""
"18","001-2","なぜ記録ない？","/statistical-archives/img-at/0018.png","",""
"19","001-3","ブワっと増えてる","/statistical-archives/img-at/0019.png","",""
"20","001-3","ここだけ減ってる","/statistical-archives/img-at/0020.png","",""
"21","001-3","すごい増加だけど人口と比例？","/statistical-archives/img-at/0021.png","",""
"22","001-3","上りと下りに分かれた。つまり、函館が終点じゃ無くなったってこと？線路伸びた。？","/statistical-archives/img-at/0022.png","",""
"23","001-3","貨物どうなった？資料もとがかわったからかと思ったけどそうでもない","/statistical-archives/img-at/0023.png","",""
"24","002-1","この数年でなにが？","/statistical-archives/img-at/0024.png","",""
"25","002-1","［青のハイライト］","/statistical-archives/img-at/0025.png","",""
"26","002-1","［赤のハイライト］","/statistical-archives/img-at/0026.png","",""
"27","002-1","減ったと思ったら増えた","/statistical-archives/img-at/0027.png","",""
"28","002-1","その他って例えばなにがある…？","/statistical-archives/img-at/0028.png","",""
"29","002-1","きまりとかができた？or市町村合併とか？","/statistical-archives/img-at/0029.png","",""
"30","002-1","増","/statistical-archives/img-at/0030.png","",""
"31","002-1","［赤のハイライト］","/statistical-archives/img-at/0031.png","",""
"32","002-1","減","/statistical-archives/img-at/0032.png","",""
"33","002-1","［青のハイライト］","/statistical-archives/img-at/0033.png","",""
"34","002-1","増減のタイミングが同じなのは関連があるのか？","/statistical-archives/img-at/0034.png","",""
"35","002-1","畑の方が土地面積広い（有租）","/statistical-archives/img-at/0035.png","",""
