domain_id,part,part_en,topic,topic_en,jpeg_zip_file_path,pdf_zip_file_path,csv_zip_file_path
DMN-01,前付,front matter,,,/statistical-archives/zip/01(前付)_jpeg.zip,/statistical-archives/zip/01(前付)_pdf.zip,
DMN-02,部門別解説,departmental overview,,,/statistical-archives/zip/02(部門別解説)_jpeg.zip,/statistical-archives/zip/02(部門別解説)_pdf.zip,
DMN-03,行政,government,気象,meteorology,/statistical-archives/zip/03(気象)_jpeg.zip,/statistical-archives/zip/03(気象)_pdf.zip,/statistical-archives/zip/03(気象)_csv.zip
DMN-04,行政,government,土地,land,/statistical-archives/zip/04(土地)_jpeg.zip,/statistical-archives/zip/04(土地)_pdf.zip,/statistical-archives/zip/04(土地)_csv.zip
DMN-05,行政,government,人口,population,/statistical-archives/zip/05(人口)_jpeg.zip,/statistical-archives/zip/05(人口)_pdf.zip,/statistical-archives/zip/05(人口)_csv.zip
DMN-06,行政,government,財政,finance,/statistical-archives/zip/06(財政)_jpeg.zip,/statistical-archives/zip/06(財政)_pdf.zip,/statistical-archives/zip/06(財政)_csv.zip
DMN-07,行政,government,選挙,elections,/statistical-archives/zip/07(選挙)_jpeg.zip,/statistical-archives/zip/07(選挙)_pdf.zip,
DMN-08,産業・経済,industry & economy,農業,agriculture,/statistical-archives/zip/08(農業)_jpeg.zip,/statistical-archives/zip/08(農業)_pdf.zip,/statistical-archives/zip/08(農業)_csv.zip
DMN-09,産業・経済,industry & economy,漁業,fisheries,/statistical-archives/zip/09(漁業)_jpeg.zip,/statistical-archives/zip/09(漁業)_pdf.zip,/statistical-archives/zip/09(漁業)_csv.zip
DMN-10,産業・経済,industry & economy,露領漁業,russian far eastern fisheries,/statistical-archives/zip/10(露領漁業)_jpeg.zip,/statistical-archives/zip/10(露領漁業)_pdf.zip,/statistical-archives/zip/10(露領漁業)_csv.zip
DMN-11,産業・経済,industry & economy,工業,manufacturing,/statistical-archives/zip/11(工業)_jpeg.zip,/statistical-archives/zip/11(工業)_pdf.zip,/statistical-archives/zip/11(工業)_csv.zip
DMN-12,産業・経済,industry & economy,事業所,enterprises,/statistical-archives/zip/12(事業所)_jpeg.zip,/statistical-archives/zip/12(事業所)_pdf.zip,
DMN-13,産業・経済,industry & economy,商業・金融,commerce finance,/statistical-archives/zip/13(商業-金融)_jpeg.zip,/statistical-archives/zip/13(商業-金融)_pdf.zip,/statistical-archives/zip/13(商業-金融)_csv.zip
DMN-14,産業・経済,industry & economy,運輸・通信,transport communications,/statistical-archives/zip/14(運輸-通信)_jpeg.zip,/statistical-archives/zip/14(運輸-通信)_pdf.zip,/statistical-archives/zip/14(運輸-通信)_csv.zip
DMN-15,産業・経済,industry & economy,内国貿易,domestic trade,/statistical-archives/zip/15(内国貿易)_jpeg.zip,/statistical-archives/zip/15(内国貿易)_pdf.zip,/statistical-archives/zip/15(内国貿易)_csv.zip
DMN-16,産業・経済,industry & economy,外国貿易,foreign trade,/statistical-archives/zip/16(外国貿易)_jpeg.zip,/statistical-archives/zip/16(外国貿易)_pdf.zip,/statistical-archives/zip/16(外国貿易)_csv.zip
DMN-17,産業・経済,industry & economy,物価・賃金,prices wages,/statistical-archives/zip/17(物価-賃金)_jpeg.zip,/statistical-archives/zip/17(物価-賃金)_pdf.zip,/statistical-archives/zip/17(物価-賃金)_csv.zip
DMN-18,社会・教育,society & education,司法・警察,judiciary police,/statistical-archives/zip/18(司法-警察)_jpeg.zip,/statistical-archives/zip/18(司法-警察)_pdf.zip,/statistical-archives/zip/18(司法-警察)_csv.zip
DMN-19,社会・教育,society & education,風俗,customs,/statistical-archives/zip/19(風俗)_jpeg.zip,/statistical-archives/zip/19(風俗)_pdf.zip,/statistical-archives/zip/19(風俗)_csv.zip
DMN-20,社会・教育,society & education,消防,firefighting,/statistical-archives/zip/20(消防)_jpeg.zip,/statistical-archives/zip/20(消防)_pdf.zip,/statistical-archives/zip/20(消防)_csv.zip
DMN-21,社会・教育,society & education,衛生,sanitation,/statistical-archives/zip/21(衛生)_jpeg.zip,/statistical-archives/zip/21(衛生)_pdf.zip,/statistical-archives/zip/21(衛生)_csv.zip
DMN-22,社会・教育,society & education,水道・電気・ガス,water electricity gas,/statistical-archives/zip/22(水道-電気-ガス)_jpeg.zip,/statistical-archives/zip/22(水道-電気-ガス)_pdf.zip,/statistical-archives/zip/22(水道-電気-ガス)_csv.zip
DMN-23,社会・教育,society & education,教育,education,/statistical-archives/zip/23(教育)_jpeg.zip,/statistical-archives/zip/23(教育)_pdf.zip,/statistical-archives/zip/23(教育)_csv.zip
DMN-24,社会・教育,society & education,兵事,military affairs,/statistical-archives/zip/24(兵事)_jpeg.zip,/statistical-archives/zip/24(兵事)_pdf.zip,/statistical-archives/zip/24(兵事)_csv.zip
