table_id,page_number,part,table_name
TBL-0001,58,気象,気温-気圧-湿度a
TBL-0002,59,気象,気温-気圧-湿度b
TBL-0003,60,気象,風速-降水量-積雪量-日照時数a
TBL-0004,61,気象,風速-降水量-積雪量-日照時数b
TBL-0005,62,気象,天気日数-地震回数-霜雪期a
TBL-0006,63,気象,天気日数-地震回数-霜雪期b
TBL-0007,64,気象,地目別土地面積a
TBL-0008,65,気象,地目別土地面積b
TBL-0009,66,気象,地目別土地面積c
TBL-0010,67,気象,地目別土地面積d
TBL-0011,68,気象,民有地面積-地価a
TBL-0012,69,気象,民有地面積-地価b
TBL-0013,70,気象,土地評価額
TBL-0014,70,気象,有租地面積
TBL-0015,71,気象,明治42年-大正7年町別面積-道路
TBL-0016,72,人口,戸数-人口1-1a
TBL-0017,73,人口,戸数-人口1-1b
TBL-0018,74,人口,戸数-人口1-2a
TBL-0019,75,人口,戸数-人口1-2b
TBL-0020,76,人口,人口動態a
TBL-0021,77,人口,人口動態b
TBL-0022,78,人口,文化文政期町別戸口表a
TBL-0023,78,人口,文化文政期町別戸口表b
TBL-0024,79,人口,文化文政期町別戸口表a
TBL-0025,79,人口,文化文政期町別戸口表b
TBL-0026,80,人口,明治9年管内村町別戸口表1-1a
TBL-0027,81,人口,明治9年管内村町別戸口表1-1b
TBL-0028,82,人口,明治9年管内村町別戸口表1-2a
TBL-0029,83,人口,明治9年管内村町別戸口表1-2b
TBL-0030,84,人口,明治期町別戸口表a
TBL-0031,85,人口,明治期町別戸口表b
TBL-0032,86,人口,明治期町別戸口表c
TBL-0033,87,人口,明治期町別戸口表d
TBL-0034,88,人口,職業表1-1a
TBL-0035,89,人口,職業表1-1b
TBL-0036,90,人口,職業表1-2a
TBL-0037,91,人口,職業表1-2b
TBL-0038,92,人口,明治11年函館市中職業表1-1a
TBL-0039,93,人口,明治11年函館市中職業表1-1b
TBL-0040,94,人口,明治11年函館市中職業表1-2a
TBL-0041,95,人口,明治11年函館市中職業表1-2b
TBL-0042,96,人口,明治11年函館市中職業表1-3a
TBL-0043,97,人口,明治11年函館市中職業表1-3b
TBL-0044,98,人口,明治12年函館市中職業表1-1a
TBL-0045,99,人口,明治12年函館市中職業表1-1b
TBL-0046,100,人口,明治12年函館市中職業表1-2a
TBL-0047,101,人口,明治12年函館市中職業表1-2b
TBL-0048,102,人口,居留外国人戸口表1-1a
TBL-0049,103,人口,居留外国人戸口表1-1b
TBL-0050,104,人口,居留外国人戸口表1-2a
TBL-0051,105,人口,居留外国人戸口表1-2b
TBL-0052,106,人口,居留外国人職業表1
TBL-0053,107,人口,居留外国人職業表2
TBL-0054,108,財政,区内協議費収支決算1-1a
TBL-0055,109,財政,区内協議費収支決算1-1b
TBL-0056,110,財政,区内協議費収支決算1-2a
TBL-0057,111,財政,区内協議費収支決算1-2b
TBL-0058,112,財政,区費歳入決算1-1a
TBL-0059,113,財政,区費歳入決算1-1b
TBL-0060,114,財政,区費歳入決算1-1c
TBL-0061,115,財政,区費歳入決算1-1d
TBL-0062,116,財政,区費歳入決算1-1e
TBL-0063,117,財政,区費歳入決算1-2a
TBL-0064,118,財政,区費歳入決算1-2b
TBL-0065,119,財政,区費歳入決算1-2c
TBL-0066,120,財政,区費歳入決算1-2d
TBL-0067,121,財政,区費歳入決算1-2e
TBL-0068,122,財政,区費歳出経常部決算1-1a
TBL-0069,123,財政,区費歳出経常部決算1-1b
TBL-0070,124,財政,区費歳出経常部決算1-1c
TBL-0071,125,財政,区費歳出経常部決算1-1d
TBL-0072,126,財政,区費歳出経常部決算1-2a
TBL-0073,127,財政,区費歳出経常部決算1-2b
TBL-0074,128,財政,区費歳出経常部決算1-2c
TBL-0075,129,財政,区費歳出経常部決算1-2d
TBL-0076,130,財政,区費歳出臨時部決算1-1a
TBL-0077,131,財政,区費歳出臨時部決算1-1b
TBL-0078,132,財政,区費歳出臨時部決算1-1c
TBL-0079,133,財政,区費歳出臨時部決算1-1d
TBL-0080,134,財政,区費歳出臨時部決算1-2a
TBL-0081,135,財政,区費歳出臨時部決算1-2b
TBL-0082,136,財政,区費歳出臨時部決算1-2c
TBL-0083,137,財政,区費歳出臨時部決算1-2d
TBL-0084,138,財政,市歳入決算1-1a
TBL-0085,139,財政,市歳入決算1-1b
TBL-0086,140,財政,市歳入決算1-1c
TBL-0087,141,財政,市歳入決算1-1d
TBL-0088,142,財政,市歳入決算1-2a
TBL-0089,143,財政,市歳入決算1-2b
TBL-0090,144,財政,市歳入決算1-2c
TBL-0091,145,財政,市歳入決算1-2d
TBL-0092,146,財政,市歳入決算2-1a
TBL-0093,147,財政,市歳入決算2-1b
TBL-0094,148,財政,市歳入決算2-2a
TBL-0095,149,財政,市歳入決算2-2b
TBL-0096,150,財政,市歳入決算2-3a
TBL-0097,151,財政,市歳入決算2-3b
TBL-0098,152,財政,市歳入決算3-1a
TBL-0099,153,財政,市歳入決算3-1b
