table_id,page_number,table_name
TBL-0001,58,気温・気圧・湿度
TBL-0001,59,気温・気圧・湿度
TBL-0002,60,風速・降水量・積雪量・日照時数
TBL-0002,61,風速・降水量・積雪量・日照時数
TBL-0003,62,天気日数・地震回数・霜雪期
TBL-0003,63,天気日数・地震回数・霜雪期
TBL-0004,64,地目別土地面積
TBL-0004,65,地目別土地面積
TBL-0004,66,地目別土地面積
TBL-0004,67,地目別土地面積
TBL-0005,68,民有地面積・地価
TBL-0005,69,民有地面積・地価
TBL-0006,70,有租地面積
TBL-0007,70,土地評価額
TBL-0008,71,明治42年，大正7年町別面積・道路
TBL-0009,72,戸数・人口1-1
TBL-0009,73,戸数・人口1-1
TBL-0010,74,戸数・人口1-2
TBL-0010,75,戸数・人口1-2
TBL-0011,76,人口動態
TBL-0011,77,人口動態
TBL-0012,78,文化文政期町別戸口表
TBL-0012,79,文化文政期町別戸口表
TBL-0013,80,明治9年管内村町別戸口表1-1
TBL-0013,81,明治9年管内村町別戸口表1-1
TBL-0014,82,明治9年管内村町別戸口表1-2
TBL-0014,83,明治9年管内村町別戸口表1-2
TBL-0015,84,明治期町別戸口表(明治15~38年)
TBL-0015,85,明治期町別戸口表(明治15~38年)
TBL-0015,86,明治期町別戸口表(明治15~38年)
TBL-0015,87,明治期町別戸口表(明治15~38年)
TBL-0016,88,職業表1-1
TBL-0016,89,職業表1-1
TBL-0017,90,職業表1-2
TBL-0017,91,職業表1-2
TBL-0018,92,明治11年函館市中職業表1-1
TBL-0018,93,明治11年函館市中職業表1-1
TBL-0019,94,明治11年函館市中職業表1-2
TBL-0019,95,明治11年函館市中職業表1-2
TBL-0020,96,明治11年函館市中職業表1-3
TBL-0020,97,明治11年函館市中職業表1-3
TBL-0021,98,明治12年函館市中職業表1-1
TBL-0021,99,明治12年函館市中職業表1-1
TBL-0022,100,明治12年函館市中職業表1-2
TBL-0022,101,明治12年函館市中職業表1-2
TBL-0023,102,居留外国人戸口表1-1
TBL-0023,103,居留外国人戸口表1-1
TBL-0024,104,居留外国人戸口表1-2
TBL-0024,105,居留外国人戸口表1-2
TBL-0025,106,居留外国人職業表1
TBL-0026,107,居留外国人職業表2
TBL-0027,108,区内協議費(明治20年より区費)収支決算1-1(明治13-29)
TBL-0027,109,区内協議費(明治20年より区費)収支決算1-1(明治13-29)
TBL-0028,110,区内協議費(明治20年より区費)収支決算1-2(明治13-29)
TBL-0028,111,区内協議費(明治20年より区費)収支決算1-2(明治13-29)
TBL-0029,112,区費歳入決算1-1(明治30-大正11)
TBL-0029,113,区費歳入決算1-1(明治30-大正11)
TBL-0029,114,区費歳入決算1-1(明治30-大正11)
TBL-0029,115,区費歳入決算1-1(明治30-大正11)
TBL-0029,116,区費歳入決算1-1(明治30-大正11)
TBL-0030,117,区費歳入決算1-2(明治30-大正11)
TBL-0030,118,区費歳入決算1-2(明治30-大正11)
TBL-0030,119,区費歳入決算1-2(明治30-大正11)
TBL-0030,120,区費歳入決算1-2(明治30-大正11)
TBL-0030,121,区費歳入決算1-2(明治30-大正11)
TBL-0031,122,区費歳出経常部決算1-1(明治30-大正11)
TBL-0031,123,区費歳出経常部決算1-1(明治30-大正11)
TBL-0031,124,区費歳出経常部決算1-1(明治30-大正11)
TBL-0031,125,区費歳出経常部決算1-1(明治30-大正11)
TBL-0032,126,区費歳出経常部決算1-2(明治30-大正11)
TBL-0032,127,区費歳出経常部決算1-2(明治30-大正11)
TBL-0032,128,区費歳出経常部決算1-2(明治30-大正11)
TBL-0032,129,区費歳出経常部決算1-2(明治30-大正11)
TBL-0033,130,区費歳出臨時部決算1-1(明治30-大正11)
TBL-0033,131,区費歳出臨時部決算1-1(明治30-大正11)
TBL-0033,132,区費歳出臨時部決算1-1(明治30-大正11)
TBL-0033,133,区費歳出臨時部決算1-1(明治30-大正11)
TBL-0034,134,区費歳出臨時部決算1-2(明治30-大正11)
TBL-0034,135,区費歳出臨時部決算1-2(明治30-大正11)
TBL-0034,136,区費歳出臨時部決算1-2(明治30-大正11)
TBL-0034,137,区費歳出臨時部決算1-2(明治30-大正11)
TBL-0035,138,市歳入決算1-1(大正11-昭和14)
TBL-0035,139,市歳入決算1-1(大正11-昭和14)
TBL-0035,140,市歳入決算1-1(大正11-昭和14)
