"domain_ID","part","topic","part_en","topic_en","jpeg_zip_file_path","pdf_zip_file_path","csv_zip_file_path"
"01","前付","","front matter","","/statistical-archives/zip/01(前付)_jpeg.zip","/statistical-archives/zip/01(前付)_pdf.zip",""
"02","部門別解説","","departmental overview","","/statistical-archives/zip/02(部門別解説)_jpeg.zip","/statistical-archives/zip/02(部門別解説)_pdf.zip",""
"03","行政","気象","government","meteorology","/statistical-archives/zip/03(気象)_jpeg.zip","/statistical-archives/zip/03(気象)_pdf.zip","/statistical-archives/zip/03(気象)_csv.zip"
"04","行政","土地","government","land","/statistical-archives/zip/04(土地)_jpeg.zip","/statistical-archives/zip/04(土地)_pdf.zip","/statistical-archives/zip/04(土地)_csv.zip"
"05","行政","人口","government","population","/statistical-archives/zip/05(人口)_jpeg.zip","/statistical-archives/zip/05(人口)_pdf.zip","/statistical-archives/zip/05(人口)_csv.zip"
"06","行政","財政","government","finance","/statistical-archives/zip/06(財政)_jpeg.zip","/statistical-archives/zip/06(財政)_pdf.zip","/statistical-archives/zip/06(財政)_csv.zip"
"07","行政","選挙","government","elections","/statistical-archives/zip/07(選挙)_jpeg.zip","/statistical-archives/zip/07(選挙)_pdf.zip",""
"08","産業・経済","農業","industry & economy","agriculture","/statistical-archives/zip/08(農業)_jpeg.zip","/statistical-archives/zip/08(農業)_pdf.zip","/statistical-archives/zip/08(農業)_csv.zip"
"09","産業・経済","漁業","industry & economy","fisheries","/statistical-archives/zip/09(漁業)_jpeg.zip","/statistical-archives/zip/09(漁業)_pdf.zip","/statistical-archives/zip/09(漁業)_csv.zip"
"10","産業・経済","露領漁業","industry & economy","russian far eastern fisheries","/statistical-archives/zip/10(露領漁業)_jpeg.zip","/statistical-archives/zip/10(露領漁業)_pdf.zip","/statistical-archives/zip/10(露領漁業)_csv.zip"
"11","産業・経済","工業","industry & economy","manufacturing","/statistical-archives/zip/11(工業)_jpeg.zip","/statistical-archives/zip/11(工業)_pdf.zip","/statistical-archives/zip/11(工業)_csv.zip"
"12","産業・経済","事業所","industry & economy","enterprises","/statistical-archives/zip/12(事業所)_jpeg.zip","/statistical-archives/zip/12(事業所)_pdf.zip",""
"13","産業・経済","商業・金融","industry & economy","commerce finance","/statistical-archives/zip/13(商業-金融)_jpeg.zip","/statistical-archives/zip/13(商業-金融)_pdf.zip","/statistical-archives/zip/13(商業-金融)_csv.zip"
"14","産業・経済","運輸・通信","industry & economy","transport communications","/statistical-archives/zip/14(運輸-通信)_jpeg.zip","/statistical-archives/zip/14(運輸-通信)_pdf.zip","/statistical-archives/zip/14(運輸-通信)_csv.zip"
"15","産業・経済","内国貿易","industry & economy","domestic trade","/statistical-archives/zip/15(内国貿易)_jpeg.zip","/statistical-archives/zip/15(内国貿易)_pdf.zip","/statistical-archives/zip/15(内国貿易)_csv.zip"
"16","産業・経済","外国貿易","industry & economy","foreign trade","/statistical-archives/zip/16(外国貿易)_jpeg.zip","/statistical-archives/zip/16(外国貿易)_pdf.zip","/statistical-archives/zip/16(外国貿易)_csv.zip"
"17","産業・経済","物価・賃金","industry & economy","prices wages","/statistical-archives/zip/17(物価-賃金)_jpeg.zip","/statistical-archives/zip/17(物価-賃金)_pdf.zip","/statistical-archives/zip/17(物価-賃金)_csv.zip"
"18","社会・教育","司法・警察","society & education","judiciary police","/statistical-archives/zip/18(司法-警察)_jpeg.zip","/statistical-archives/zip/18(司法-警察)_pdf.zip","/statistical-archives/zip/18(司法-警察)_csv.zip"
"19","社会・教育","風俗","society & education","customs","/statistical-archives/zip/19(風俗)_jpeg.zip","/statistical-archives/zip/19(風俗)_pdf.zip","/statistical-archives/zip/19(風俗)_csv.zip"
"20","社会・教育","消防","society & education","firefighting","/statistical-archives/zip/20(消防)_jpeg.zip","/statistical-archives/zip/20(消防)_pdf.zip","/statistical-archives/zip/20(消防)_csv.zip"
"21","社会・教育","衛生","society & education","sanitation","/statistical-archives/zip/21(衛生)_jpeg.zip","/statistical-archives/zip/21(衛生)_pdf.zip","/statistical-archives/zip/21(衛生)_csv.zip"
"22","社会・教育","水道・電気・ガス","society & education","water electricity gas","/statistical-archives/zip/22(水道-電気-ガス)_jpeg.zip","/statistical-archives/zip/22(水道-電気-ガス)_pdf.zip","/statistical-archives/zip/22(水道-電気-ガス)_csv.zip"
"23","社会・教育","教育","society & education","education","/statistical-archives/zip/23(教育)_jpeg.zip","/statistical-archives/zip/23(教育)_pdf.zip","/statistical-archives/zip/23(教育)_csv.zip"
"24","社会・教育","兵事","society & education","military affairs","/statistical-archives/zip/24(兵事)_jpeg.zip","/statistical-archives/zip/24(兵事)_pdf.zip","/statistical-archives/zip/24(兵事)_csv.zip"
