"cellId","value","x","y","w","h"
"tc0596-A14","901797","14.389920106524634","45.448074694140374","8.629729249889037","1.5080489375402448"
"tc0596-B14","302533","23.01964935641367","45.448074694140374","8.629729249889037","1.5080489375402448"
"tc0596-C14","296384","31.649378606302708","45.448074694140374","8.629729249889037","1.5080489375402448"
"tc0596-A17","1205878","14.389920106524634","49.97222794591114","8.629729249889037","1.5080489375402448"
"tc0596-B17","605736","23.01964935641367","49.97222794591114","8.629729249889037","1.5080489375402448"
"tc0596-C17","600142","31.649378606302708","49.97222794591114","8.629729249889037","1.5080489375402448"
"tc0596-A19","1284879","14.389920106524634","54.36759175788796","8.629729249889037","1.5080489375402448"
"tc0596-B19","646644","23.01964935641367","54.36759175788796","8.629729249889037","1.5080489375402448"
"tc0596-C19","638235","31.649378606302708","54.36759175788796","8.629729249889037","1.5080489375402448"
"tc0596-A28","1766057","14.389920106524634","69.38370895041854","8.629729249889037","1.5080489375402448"
"tc0596-B28","896834","23.01964935641367","69.38370895041854","8.629729249889037","1.5080489375402448"
"tc0596-C28","869223","31.649378606302708","69.38370895041854","8.629729249889037","1.5080489375402448"
"tc0596-A37","2580610","14.389920106524634","84.37803605924019","8.629729249889037","1.5080489375402448"
"tc0596-B37","1303243","23.01964935641367","84.37803605924019","8.629729249889037","1.5080489375402448"
"tc0596-C37","1277367","31.649378606302708","84.37803605924019","8.629729249889037","1.5080489375402448"
"tc0596-H13","182168","75.04466932978251","43.94002575660013","8.295268530847759","1.5080489375402448"
"tc0596-H24","525469","75.04466932978251","63.41589826142949","8.295268530847759","1.5080489375402448"
