page_code,page_number,domain_ID,book_components,part,topic,table_name
pc0001,,01,見返し,,,
pc0002,,01,見返し,,,
pc0003,,01,本扉,書名,,
pc0004,,01,前付,空白,,
pc0005,,01,前付,発刊にあたって,,
pc0006,,01,前付,発刊にあたって,,
pc0007,,01,前付,発刊にあたって,,
pc0008,,01,前付,空白,,
pc0009,,01,前付,凡例,,
pc0010,,01,前付,空白,,
pc0011,i,01,前付,目次,,
pc0012,ii,01,前付,目次,,
pc0013,iii,01,前付,目次,,
pc0014,iv,01,前付,目次,,
pc0015,v,01,前付,目次,,
pc0016,vi,01,前付,目次,,
pc0017,vii,01,前付,目次,,
pc0018,viii,01,前付,目次,,
pc0019,1,02,本編,部門別解説,,
pc0020,2,02,本編,部門別解説,,
pc0021,3,02,本編,部門別解説,,
pc0022,4,02,本編,部門別解説,,
pc0023,5,02,本編,部門別解説,,
pc0024,6,02,本編,部門別解説,,
pc0025,7,02,本編,部門別解説,,
pc0026,8,02,本編,部門別解説,,
pc0027,9,02,本編,部門別解説,,
pc0028,10,02,本編,部門別解説,,
pc0029,11,02,本編,部門別解説,,
pc0030,12,02,本編,部門別解説,,
pc0031,13,02,本編,部門別解説,,
pc0032,14,02,本編,部門別解説,,
pc0033,15,02,本編,部門別解説,,
pc0034,16,02,本編,部門別解説,,
pc0035,17,02,本編,部門別解説,,
pc0036,18,02,本編,部門別解説,,
pc0037,19,02,本編,部門別解説,,
pc0038,20,02,本編,部門別解説,,
pc0039,21,02,本編,部門別解説,,
pc0040,22,02,本編,部門別解説,,
pc0041,23,02,本編,部門別解説,,
pc0042,24,02,本編,部門別解説,,
pc0043,25,02,本編,部門別解説,,
pc0044,26,02,本編,部門別解説,,
pc0045,27,02,本編,部門別解説,,
pc0046,28,02,本編,部門別解説,,
pc0047,29,02,本編,部門別解説,,
pc0048,30,02,本編,部門別解説,,
pc0049,31,02,本編,部門別解説,,
pc0050,32,02,本編,部門別解説,,
pc0051,33,02,本編,部門別解説,,
pc0052,34,02,本編,部門別解説,,
pc0053,35,02,本編,部門別解説,,
pc0054,36,02,本編,部門別解説,,
pc0055,37,02,本編,部門別解説,,
pc0056,38,02,本編,部門別解説,,
pc0057,39,02,本編,部門別解説,,
pc0058,40,02,本編,部門別解説,,
pc0059,41,02,本編,部門別解説,,
pc0060,42,02,本編,部門別解説,,
pc0061,43,02,本編,部門別解説,,
pc0062,44,02,本編,部門別解説,,
pc0063,45,02,本編,部門別解説,,
pc0064,46,02,本編,部門別解説,,
pc0065,47,02,本編,部門別解説,,
pc0066,48,02,本編,部門別解説,,
pc0067,49,02,本編,部門別解説,,
pc0068,50,02,本編,部門別解説,,
pc0069,51,02,本編,部門別解説,,
pc0070,52,02,本編,部門別解説,,
pc0071,53,02,本編,部門別解説,,
pc0072,54,02,本編,部門別解説,,
pc0073,55,02,本編,部門別解説,,
pc0074,56,02,本編,部門別解説,,
pc0075,57,03,中扉,行政,,
pc0076,58,03,本編,行政,気象,気温-気圧-湿度
pc0077,59,03,本編,行政,気象,気温-気圧-湿度
pc0078,60,03,本編,行政,気象,風速-降水量-積雪量-日照時数
pc0079,61,03,本編,行政,気象,風速-降水量-積雪量-日照時数
pc0080,62,03,本編,行政,気象,天気日数-地震回数-霜雪期
pc0081,63,03,本編,行政,気象,天気日数-地震回数-霜雪期
pc0082,64,04,本編,行政,土地,地目別土地面積
pc0083,65,04,本編,行政,土地,地目別土地面積
pc0084,66,04,本編,行政,土地,地目別土地面積
pc0085,67,04,本編,行政,土地,地目別土地面積
pc0086,68,04,本編,行政,土地,民有地面積-地価
pc0087,69,04,本編,行政,土地,民有地面積-地価
pc0088,70,04,本編,行政,土地,有租地面積
pc0089,71,04,本編,行政,土地,明治42年-大正7年町別面積-道路
pc0090,72,05,本編,行政,人口,戸数-人口1-1
pc0091,73,05,本編,行政,人口,戸数-人口1-1
pc0092,74,05,本編,行政,人口,戸数-人口1-2
pc0093,75,05,本編,行政,人口,戸数-人口1-2
pc0094,76,05,本編,行政,人口,人口動態
pc0095,77,05,本編,行政,人口,人口動態
pc0096,78,05,本編,行政,人口,文化文政期町別戸口表
pc0097,79,05,本編,行政,人口,文化文政期町別戸口表
pc0098,80,05,本編,行政,人口,明治9年管内村町別戸口表1-1
pc0099,81,05,本編,行政,人口,明治9年管内村町別戸口表1-1
pc0100,82,05,本編,行政,人口,明治9年管内村町別戸口表1-2
pc0101,83,05,本編,行政,人口,明治9年管内村町別戸口表1-2
pc0102,84,05,本編,行政,人口,明治期町別戸口表
pc0103,85,05,本編,行政,人口,明治期町別戸口表
pc0104,86,05,本編,行政,人口,明治期町別戸口表
pc0105,87,05,本編,行政,人口,明治期町別戸口表
pc0106,88,05,本編,行政,人口,職業表1-1
pc0107,89,05,本編,行政,人口,職業表1-1
pc0108,90,05,本編,行政,人口,職業表1-2
pc0109,91,05,本編,行政,人口,職業表1-2
pc0110,92,05,本編,行政,人口,明治11年函館市中職業表1-1
pc0111,93,05,本編,行政,人口,明治11年函館市中職業表1-1
pc0112,94,05,本編,行政,人口,明治11年函館市中職業表1-2
pc0113,95,05,本編,行政,人口,明治11年函館市中職業表1-2
pc0114,96,05,本編,行政,人口,明治11年函館市中職業表1-3
pc0115,97,05,本編,行政,人口,明治11年函館市中職業表1-3
pc0116,98,05,本編,行政,人口,明治12年函館市中職業表1-1
pc0117,99,05,本編,行政,人口,明治12年函館市中職業表1-1
pc0118,100,05,本編,行政,人口,明治12年函館市中職業表1-2
pc0119,101,05,本編,行政,人口,明治12年函館市中職業表1-2
pc0120,102,05,本編,行政,人口,居留外国人戸口表1-1
pc0121,103,05,本編,行政,人口,居留外国人戸口表1-1
pc0122,104,05,本編,行政,人口,居留外国人戸口表1-2
pc0123,105,05,本編,行政,人口,居留外国人戸口表1-2
pc0124,106,05,本編,行政,人口,居留外国人職業表1
pc0125,107,05,本編,行政,人口,居留外国人職業表2
pc0126,108,06,本編,行政,財政,区内協議費収支決算1-1
pc0127,109,06,本編,行政,財政,区内協議費収支決算1-1
pc0128,110,06,本編,行政,財政,区内協議費収支決算1-2
pc0129,111,06,本編,行政,財政,区内協議費収支決算1-2
