"Japanese_calendar","type","sub_type","sub_sub_type","mesurement","unit","value","ID"
"大正14","人員","乗客","","人数","人","789,916","tc0596-A22"
"大正14","人員","計","","人数","人","1,576,604","tc0596-B22"
"大正14","人員","降客","","人数","人","786,688","tc0596-C22"
"大正14","貨物","到着","上り","重量","t","47,542","tc0596-D22"
"大正14","貨物","到着","下り","重量","t","353,980","tc0596-E22"
"大正14","貨物","合計","","重量","t","561,239","tc0596-F22"
"大正14","貨物","発送","上り","重量","t","91,286","tc0596-G22"
"大正14","貨物","発送","下り","重量","t","68,431","tc0596-H22"
"昭和1","人員","乗客","","人数","人","693,683","tc0596-A23"
"昭和1","人員","計","","人数","人","1,371,386","tc0596-B23"
"昭和1","人員","降客","","人数","人","677,703","tc0596-C23"
"昭和1","貨物","到着","上り","重量","t","47,699","tc0596-D23"
"昭和1","貨物","到着","下り","重量","t","301,487","tc0596-E23"
"昭和1","貨物","合計","","重量","t","525,469","tc0596-F23"
"昭和1","貨物","発送","上り","重量","t","110,643","tc0596-G23"
"昭和1","貨物","発送","下り","重量","t","65,640","tc0596-H23"
"昭和2","人員","乗客","","人数","人","734,598","tc0596-A24"
"昭和2","人員","計","","人数","人","1,442,483","tc0596-B24"
"昭和2","人員","降客","","人数","人","707,885","tc0596-C24"
"昭和2","貨物","到着","上り","重量","t","66,264","tc0596-D24"
"昭和2","貨物","到着","下り","重量","t","429,558","tc0596-E24"
"昭和2","貨物","合計","","重量","t","676,229","tc0596-F24"
"昭和2","貨物","発送","上り","重量","t","107,265","tc0596-G24"
"昭和2","貨物","発送","下り","重量","t","73,142","tc0596-H24"
"昭和3","人員","乗客","","人数","人","839,041","tc0596-A25"
"昭和3","人員","計","","人数","人","1,654,836","tc0596-B25"
"昭和3","人員","降客","","人数","人","815,795","tc0596-C25"
"昭和3","貨物","到着","上り","重量","t","71,565","tc0596-D25"
"昭和3","貨物","到着","下り","重量","t","425,076","tc0596-E25"
"昭和3","貨物","合計","","重量","t","683,358","tc0596-F25"
"昭和3","貨物","発送","上り","重量","t","107,849","tc0596-G25"
"昭和3","貨物","発送","下り","重量","t","78,868","tc0596-H25"
"昭和4","人員","乗客","","人数","人","896,421","tc0596-A26"
"昭和4","人員","計","","人数","人","1,762,154","tc0596-B26"
"昭和4","人員","降客","","人数","人","865,733","tc0596-C26"
"昭和4","貨物","到着","上り","重量","t","81,731","tc0596-D26"
"昭和4","貨物","到着","下り","重量","t","426,338","tc0596-E26"
"昭和4","貨物","合計","","重量","t","691,158","tc0596-F26"
"昭和4","貨物","発送","上り","重量","t","103,221","tc0596-G26"
"昭和4","貨物","発送","下り","重量","t","79,868","tc0596-H26"
"昭和5","人員","乗客","","人数","人","896,834","tc0596-A27"
"昭和5","人員","計","","人数","人","1,766,057","tc0596-B27"
"昭和5","人員","降客","","人数","人","869,223","tc0596-C27"
"昭和5","貨物","到着","上り","重量","t","86,723","tc0596-D27"
"昭和5","貨物","到着","下り","重量","t","383,177","tc0596-E27"
"昭和5","貨物","合計","","重量","t","661,087","tc0596-F27"
"昭和5","貨物","発送","上り","重量","t","104,743","tc0596-G27"
"昭和5","貨物","発送","下り","重量","t","86,444","tc0596-H27"
"昭和6","人員","乗客","","人数","人","1,122,454","tc0596-A28"
