table_code,page_number,part,table_name
tc0001,58,気象,気温-気圧-湿度a
tc0002,59,気象,気温-気圧-湿度b
tc0003,60,気象,風速-降水量-積雪量-日照時数a
tc0004,61,気象,風速-降水量-積雪量-日照時数b
tc0005,62,気象,天気日数-地震回数-霜雪期a
tc0006,63,気象,天気日数-地震回数-霜雪期b
tc0007,64,気象,地目別土地面積a
tc0008,65,気象,地目別土地面積b
tc0009,66,気象,地目別土地面積c
tc0010,67,気象,地目別土地面積d
tc0011,68,気象,民有地面積-地価a
tc0012,69,気象,民有地面積-地価b
tc0013,70,気象,土地評価額
tc0014,70,気象,有租地面積
tc0015,71,気象,明治42年-大正7年町別面積-道路
tc0016,72,人口,戸数-人口1-1a
tc0017,73,人口,戸数-人口1-1b
tc0018,74,人口,戸数-人口1-2a
tc0019,75,人口,戸数-人口1-2b
tc0020,76,人口,人口動態a
tc0021,77,人口,人口動態b
tc0022,78,人口,文化文政期町別戸口表a
tc0023,78,人口,文化文政期町別戸口表b
tc0024,79,人口,文化文政期町別戸口表a
tc0025,79,人口,文化文政期町別戸口表b
tc0026,80,人口,明治9年管内村町別戸口表1-1a
tc0027,81,人口,明治9年管内村町別戸口表1-1b
tc0028,82,人口,明治9年管内村町別戸口表1-2a
tc0029,83,人口,明治9年管内村町別戸口表1-2b
tc0030,84,人口,明治期町別戸口表a
tc0031,85,人口,明治期町別戸口表b
tc0032,86,人口,明治期町別戸口表c
tc0033,87,人口,明治期町別戸口表d
tc0034,88,人口,職業表1-1a
tc0035,89,人口,職業表1-1b
tc0036,90,人口,職業表1-2a
tc0037,91,人口,職業表1-2b
tc0038,92,人口,明治11年函館市中職業表1-1a
tc0039,93,人口,明治11年函館市中職業表1-1b
tc0040,94,人口,明治11年函館市中職業表1-2a
tc0041,95,人口,明治11年函館市中職業表1-2b
tc0042,96,人口,明治11年函館市中職業表1-3a
tc0043,97,人口,明治11年函館市中職業表1-3b
tc0044,98,人口,明治12年函館市中職業表1-1a
tc0045,99,人口,明治12年函館市中職業表1-1b
tc0046,100,人口,明治12年函館市中職業表1-2a
tc0047,101,人口,明治12年函館市中職業表1-2b
tc0048,102,人口,居留外国人戸口表1-1a
tc0049,103,人口,居留外国人戸口表1-1b
tc0050,104,人口,居留外国人戸口表1-2a
tc0051,105,人口,居留外国人戸口表1-2b
tc0052,106,人口,居留外国人職業表1
tc0053,107,人口,居留外国人職業表2
tc0054,108,財政,区内協議費収支決算1-1a
tc0055,109,財政,区内協議費収支決算1-1b
tc0056,110,財政,区内協議費収支決算1-2a
tc0057,111,財政,区内協議費収支決算1-2b
tc0058,112,財政,区費歳入決算1-1a
tc0059,113,財政,区費歳入決算1-1b
tc0060,114,財政,区費歳入決算1-1c
tc0061,115,財政,区費歳入決算1-1d
tc0062,116,財政,区費歳入決算1-1e
tc0063,117,財政,区費歳入決算1-2a
tc0064,118,財政,区費歳入決算1-2b
tc0065,119,財政,区費歳入決算1-2c
tc0066,120,財政,区費歳入決算1-2d
tc0067,121,財政,区費歳入決算1-2e
tc0068,122,財政,区費歳出経常部決算1-1a
tc0069,123,財政,区費歳出経常部決算1-1b
tc0070,124,財政,区費歳出経常部決算1-1c
tc0071,125,財政,区費歳出経常部決算1-1d
tc0072,126,財政,区費歳出経常部決算1-2a
tc0073,127,財政,区費歳出経常部決算1-2b
tc0074,128,財政,区費歳出経常部決算1-2c
tc0075,129,財政,区費歳出経常部決算1-2d
tc0076,130,財政,区費歳出臨時部決算1-1a
tc0077,131,財政,区費歳出臨時部決算1-1b
tc0078,132,財政,区費歳出臨時部決算1-1c
tc0079,133,財政,区費歳出臨時部決算1-1d
tc0080,134,財政,区費歳出臨時部決算1-2a
tc0081,135,財政,区費歳出臨時部決算1-2b
tc0082,136,財政,区費歳出臨時部決算1-2c
tc0083,137,財政,区費歳出臨時部決算1-2d
tc0084,138,財政,市歳入決算1-1a
tc0085,139,財政,市歳入決算1-1b
tc0086,140,財政,市歳入決算1-1c
tc0087,141,財政,市歳入決算1-1d
tc0088,142,財政,市歳入決算1-2a
tc0089,143,財政,市歳入決算1-2b
tc0090,144,財政,市歳入決算1-2c
tc0091,145,財政,市歳入決算1-2d
tc0092,146,財政,市歳入決算2-1a
tc0093,147,財政,市歳入決算2-1b
tc0094,148,財政,市歳入決算2-2a
tc0095,149,財政,市歳入決算2-2b
tc0096,150,財政,市歳入決算2-3a
tc0097,151,財政,市歳入決算2-3b
tc0098,152,財政,市歳入決算3-1a
tc0099,153,財政,市歳入決算3-1b
tc0100,154,財政,市歳入決算3-1c
tc0101,155,財政,市歳入決算3-2a
tc0102,156,財政,市歳入決算3-2b
tc0103,157,財政,市歳入決算3-2c
tc0104,158,財政,市歳入決算3-3a
tc0105,159,財政,市歳入決算3-3b
tc0106,160,財政,市歳入決算3-3c
tc0107,161,財政,市歳入決算3-4a
tc0108,162,財政,市歳入決算3-4b
tc0109,163,財政,市歳入決算3-4c
tc0110,164,財政,市歳入決算3-5a
tc0111,165,財政,市歳入決算3-5b
tc0112,166,財政,市歳入決算3-5c
tc0113,167,財政,市歳入決算4-1a
tc0114,168,財政,市歳入決算4-1b
tc0115,169,財政,市歳入決算4-1c
tc0116,170,財政,市歳入決算4-2a
tc0117,171,財政,市歳入決算4-2b
tc0118,172,財政,市歳入決算4-2c
tc0119,173,財政,市歳入決算4-3a
tc0120,174,財政,市歳入決算4-3b
tc0121,175,財政,市歳入決算4-3c
tc0122,176,財政,市歳出経常部決算1-1a
tc0123,177,財政,市歳出経常部決算1-1b
tc0124,178,財政,市歳出経常部決算1-1c
tc0125,179,財政,市歳出経常部決算1-2a
tc0126,180,財政,市歳出経常部決算1-2b
tc0127,181,財政,市歳出経常部決算1-2c
tc0128,182,財政,市歳出経常部決算1-3a
tc0129,183,財政,市歳出経常部決算1-3b
tc0130,184,財政,市歳出経常部決算1-3c
tc0131,185,財政,市歳出臨時部決算1-1a
tc0132,186,財政,市歳出臨時部決算1-1b
tc0133,187,財政,市歳出臨時部決算1-1c
tc0134,188,財政,市歳出臨時部決算1-2a
tc0135,189,財政,市歳出臨時部決算1-2b
tc0136,190,財政,市歳出臨時部決算1-2c
tc0137,191,財政,市歳出臨時部決算1-3a
tc0138,192,財政,市歳出臨時部決算1-3b
tc0139,193,財政,市歳出臨時部決算1-3c
tc0140,194,財政,市歳出経常部決算2-1a
tc0141,195,財政,市歳出経常部決算2-1b
tc0142,196,財政,市歳出経常部決算2-2a
tc0143,197,財政,市歳出経常部決算2-2b
tc0144,198,財政,市歳出経常部決算2-3a
tc0145,199,財政,市歳出経常部決算2-3b
tc0146,200,財政,市歳出経常部決算2-4a
tc0147,201,財政,市歳出経常部決算2-4b
tc0148,202,財政,市歳出臨時部決算2-1a
tc0149,203,財政,市歳出臨時部決算2-1b
tc0150,204,財政,市歳出臨時部決算2-2a
tc0151,205,財政,市歳出臨時部決算2-2b
tc0152,206,財政,市歳出臨時部決算2-3a
tc0153,207,財政,市歳出臨時部決算2-3b
tc0154,208,財政,市歳出決算3-1a
tc0155,209,財政,市歳出決算3-1b
tc0156,210,財政,市歳出決算3-1c
tc0157,211,財政,市歳出決算3-2a
tc0158,212,財政,市歳出決算3-2b
tc0159,213,財政,市歳出決算3-2c
tc0160,214,財政,市歳出決算3-3a
tc0161,215,財政,市歳出決算3-3b
tc0162,216,財政,市歳出決算3-3
tc0163,217,財政,市歳出決算3-4a
tc0164,218,財政,市歳出決算3-4b
tc0165,219,財政,市歳出決算3-4c
tc0166,220,財政,市歳出決算4-1a
tc0167,221,財政,市歳出決算4-1b
tc0168,222,財政,市歳出決算4-1c
tc0169,223,財政,市歳出決算4-2a
tc0170,224,財政,市歳出決算4-2b
tc0171,225,財政,市歳出決算4-2c
tc0172,226,財政,市歳出決算4-3a
tc0173,227,財政,市歳出決算4-3b
tc0174,228,財政,市歳出決算4-3c
tc0175,229,財政,市歳出決算4-4a
tc0176,230,財政,市歳出決算4-4b
tc0177,231,財政,市歳出決算4-4c
tc0178,232,財政,市歳出決算4-5a
tc0179,233,財政,市歳出決算4-5b
tc0180,234,財政,市歳出決算4-5c
tc0181,235,財政,市歳出決算4-6a
tc0182,236,財政,市歳出決算4-6b
tc0183,237,財政,市歳出決算4-6c
tc0184,238,財政,区-市特別会計歳入歳出決算-井戸新鑿修繕費
tc0185,238,財政,区-市特別会計歳入歳出決算-住吉小学校新築費
tc0186,238,財政,区-市特別会計歳入歳出決算-公立小学校地地平均費
tc0187,238,財政,区-市特別会計歳入歳出決算-学校建築費
tc0188,238,財政,区-市特別会計歳入歳出決算-宝小学校教場増築日
tc0189,238,財政,区-市特別会計歳入歳出決算-幸小学校新築費
tc0190,238,財政,区-市特別会計歳入歳出決算-行在所建築諸費
tc0191,238,財政,区-市特別会計歳入歳出決算-高砂、東川小学校改築費
tc0192,239,財政,公園費
tc0193,239,財政,共有火葬及葬儀場建築費
tc0194,239,財政,区-市特別会計歳入歳出決算-小学校補助金
tc0195,239,財政,区-市特別会計歳入歳出決算-窮民救護費
tc0196,240,財政,会社銀行年賦寄付金(弥生小学校建築費)
tc0197,240,財政,区内共有金1
tc0198,241,財政,会社銀行年賦寄付金(弥生小学校建築費)
tc0199,241,財政,区内共有金1
tc0200,242,財政,備荒貯蓄金
tc0201,242,財政,区内共有金2
tc0202,243,財政,備荒貯蓄金
tc0203,243,財政,区内共有金2
tc0204,244,財政,教育蓄積金-公立小学校費-函館女学校費a
tc0205,245,財政,教育蓄積金-公立小学校費-函館女学校費b
tc0206,246,財政,共有基本金a
tc0207,247,財政,共有基本金b
tc0208,248,財政,共有基本金c
tc0209,249,財政,私立小学校経費(参考)
tc0210,250,財政,育児費-育児特別基本金a
tc0211,251,財政,育児費-育児特別基本金b
tc0212,252,財政,函館水道増設工事費
tc0213,252,財政,函館水道費
tc0214,252,財政,水道副管調査費
tc0215,252,財政,水道起業蓄積金
tc0216,252,財政,赤川水源測量費
tc0217,253,財政,函館港改良工事
tc0218,253,財政,水道保存蓄積金
tc0219,253,財政,若松町海面埋立工事
tc0220,254,財政,上水道拡張費
tc0221,254,財政,温泉費
tc0222,254,財政,給水工事費
tc0223,255,財政,上水道拡張費
tc0224,255,財政,温泉費
tc0225,255,財政,給水工事費
tc0226,256,財政,水道費a
tc0227,257,財政,水道費b
tc0228,258,財政,水道費c
tc0229,259,財政,水道費d
tc0230,260,財政,水道事業費
tc0231,261,財政,復興事業費
tc0232,261,財政,結核予防並窮民治療事業資金
tc0233,262,財政,基本財産a
tc0234,262,財政,基本財産c
tc0235,263,財政,基本財産b
tc0236,263,財政,基本財産d
tc0237,264,財政,特別基本財産a
tc0238,264,財政,窮民救助費a
tc0239,264,財政,窮民救助費特別基本財産a
tc0240,265,財政,特別基本財産b
tc0241,265,財政,窮民救助費b
tc0242,265,財政,窮民救助費特別基本財産b
tc0243,266,財政,特別基本財c
tc0244,266,財政,窮民救助費c
tc0245,267,財政,特別基本財d
tc0246,267,財政,窮民救助費d
tc0247,268,財政,慈善事業資金
tc0248,268,財政,教育基本財産
tc0249,268,財政,社会事業資金
tc0250,269,財政,慈善事業資金
tc0251,269,財政,教育基本財産
tc0252,269,財政,社会事業資金
tc0253,270,財政,慈善事業資金
tc0254,270,財政,木島社会事業資金
tc0255,270,財政,社会事業資金
tc0256,271,財政,公益質屋費a
tc0257,272,財政,公益質屋費b
tc0258,273,財政,公益質屋費c
tc0259,274,財政,交通事業費1
tc0260,274,財政,交通事業資金
tc0261,275,財政,交通事業費2
tc0262,276,財政,区立病院維持蓄積金
tc0263,276,財政,区立病院費
tc0264,277,財政,区立病院維持蓄積金
tc0265,277,財政,区立病院費
tc0266,278,財政,函館病院費1a
tc0267,279,財政,函館病院費1b
tc0268,280,財政,函館病院費1c
tc0269,281,財政,函館病院費1d
tc0270,282,財政,函館病院費1e
tc0271,283,財政,函館病院費1f
tc0272,284,財政,函館病院費2-1a
tc0273,285,財政,函館病院費2-1b
