category_name,value
A,カラム（表頭）、あるいはレコード（表側）単位でフィールド値に着目し、その値の大きさや、その変化や傾向に言及するもの
B,複数のカラム、あるいはレコード間で、それぞれに含まれる複数のフィールド値の変化の傾向に言及するもの
C,カラムあるいはレコードに含まれるフィールド値に着目し、そのカラム名やレコード名の意味を解釈した上でその値について言及するもの
D,1個あるいは複数個のフィールド値に着目した上で、それを含むカラムあるいはレコードの特徴やそれが示唆するところについて言及するもの
F,カラム（表頭）名、あるいはレコード（表側）名に着目しその解釈を試みたりそれに疑問を呈するもの
G,表体の構造やレイアウトに着目するもの
H,表全体のフィールド値に対するアノテーション
I,統計表中の記号の使われ方に対する疑問や解釈
J,統計表の注釈や脚注に、注意や疑問を呈するもの
K,統計表に含まれていない（カラムやレコードとしての）属性に言及（要望）するもの
L,表題に言及するもの
M,統計表中の単位に着目するもの
