page_number,sum_id,participant_id,annotation_id,analysis_code,code_group
632,001-1,P01,ANN-0001,C001,A
632,001-1,P01,ANN-0002,C003,A
632,001-1,P01,ANN-0003,C003,A
632,001-1,P01,ANN-0004,C008,G
632,001-1,P01,ANN-0005,C005,A
632,001-1,P01,ANN-0006,C022,
632,001-2,P02,ANN-0007,C007,D
632,001-2,P02,ANN-0008,C003,A
632,001-2,P02,ANN-0009,C003,A
632,001-2,P02,ANN-0010,C003,A
632,001-2,P02,ANN-0011,C003,A
632,001-2,P02,ANN-0012,C003,A
632,001-2,P02,ANN-0013,C019,F
632,001-2,P02,ANN-0014,C019,F
632,001-2,P02,ANN-0015,C008,G
632,001-2,P02,ANN-0016,C002,A
632,001-2,P02,ANN-0017,C002,A
632,001-2,P02,ANN-0018,C016,G
632,001-3,P03,ANN-0019,C020,D
632,001-3,P03,ANN-0020,C020,D
632,001-3,P03,ANN-0021,C021,
632,001-3,P03,ANN-0022,C008,G
632,001-3,P03,ANN-0023,C016,G
694,002-1,P01,ANN-0024,C016,G
694,002-1,P01,ANN-0025,C023,A
694,002-1,P01,ANN-0026,C023,A
694,002-1,P01,ANN-0027,C007,D
694,002-1,P01,ANN-0028,C014,F
694,002-1,P01,ANN-0029,C024,J
694,002-1,P01,ANN-0030,C007,D
694,002-1,P01,ANN-0031,C007,D
694,002-1,P01,ANN-0032,C007,D
694,002-1,P01,ANN-0033,C007,D
694,002-1,P01,ANN-0034,C025,B
694,002-1,P01,ANN-0035,C009,D
495,002-2,P02,ANN-0036,C010,
495,002-2,P02,ANN-0037,C013,M
495,002-2,P02,ANN-0038,C003,A
495,002-2,P02,ANN-0039,C006,A
495,002-2,P02,ANN-0040,C014,F
495,002-2,P02,ANN-0041,C016,G
495,002-2,P02,ANN-0042,C015,J
64,002-3,P03,ANN-0043,C026,L
64,002-3,P03,ANN-0044,C027,F
64,002-3,P03,ANN-0045,C028,F
64,002-3,P03,ANN-0046,C029,M
64,002-3,P03,ANN-0047,C030,M
64,002-3,P03,ANN-0048,C027,F
64,002-3,P03,ANN-0049,C028,F
64,002-3,P03,ANN-0050,C018,K
64,002-3,P03,ANN-0051,C009,D
64,002-3,P03,ANN-0052,C009,D
64,002-3,P03,ANN-0053,C031,A
64,002-3,P03,ANN-0054,C032,A
78,003,P01,ANN-0055,C028,F
