"SUM_ID","SUM_Type","page_number","number_of_participants","duration","date","place"
"001-1","2","632","1","0:13:44","2024/8/13","FUN R724"
"001-2","2","632","1","0:13:44","2024/8/13","FUN R724"
"001-3","2","632","1","0:13:44","2024/8/13","FUN R724"
"002-1","2","694","1","0:16:50","2024/8/13","FUN R724"
"002-2","2","495","1","0:16:50","2024/8/13","FUN R724"
"002-3","2","64","1","0:16:50","2024/8/13","FUN R724"
"003","3","78","3","0:25:50","2024/8/13","FUN R725"
"004","5","404","1","0:03:32","2024/8/15","FUN R724"
"005","5","404","1","0:02:30","2024/8/15","FUN R724"
"006","5","404","1","0:02:29","2024/8/15","FUN R724"
"007","5","404","1+1","0:02:18","2024/8/15","FUN R724"
"008","5","404","1+1","0:02:06","2024/8/15","FUN R724"
"009","4",""1102"","2","0:17:25","2024/8/15","FUN R724"
"010","1",""366"","1","0:15:21","2024/8/15","FUN R724"
"011-1","4","86-87","3","0:15:20","2024/8/21","FUN R723"
"011-2","4","92-93","3","0:15:20","2024/8/21","FUN R723"
"012","3","637","3","0:20:40","2024/10/10","FUN R724"
"013-1","4","1196","3","0:14:17","2025/2/21","FUN R731"
"013-2","4","1195","3","0:17:42","2025/2/21","FUN R731"

"013-3","4","1194","3","0:17:56","2025/2/21","FUN R731"
